Module,Lesson Name,Description,Language,Type,CWEs,Campaigns
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,go,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,java,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,node,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,php,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,python,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,rails,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,scala,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,dotnet,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,Authentication Bypass,"""Force browse"" to an unprotected page to discover confidential information.",go,Lesson,"cwe-1353, cwe-1345, cwe-862, cwe-425, cwe-285, cwe-high",All core labs (All topics)
OWASP 7: Identification and Authentication Failures,Authentication Bypass,"""Force browse"" to an unprotected page to discover confidential information.",node,Lesson,"cwe-1353, cwe-1345, cwe-862, cwe-425, cwe-285, cwe-high",All core labs (All topics)
OWASP 7: Identification and Authentication Failures,Terrible Password,SQLi and poor password hashing lead to exposed user accounts.,dotnet,Challenge,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,Terrible Password,SQLi and poor password hashing lead to exposed user accounts.,flask,Challenge,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,Terrible Password,SQLi and poor password hashing lead to exposed user accounts.,java,Challenge,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,Terrible Password,SQLi and poor password hashing lead to exposed user accounts.,node,Challenge,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,Terrible Password,SQLi and poor password hashing lead to exposed user accounts.,rails,Challenge,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,Terrible Password,SQLi and poor password hashing lead to exposed user accounts.,scala,Challenge,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
